TIME,NS1_FLOW [m^3 s^-1],NS1_SALT_FLUX [psu m^3 s^-1],NS1_TEMP_FLUX [degrees celsius m^3 s^-1],NS2_FLOW [m^3 s^-1],NS2_SALT_FLUX [psu m^3 s^-1],NS2_TEMP_FLUX [degrees celsius m^3 s^-1]
01/05/2011 00:00:00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
01/05/2011 00:15:23,  0.2000000E+02,  0.0000000E+00,  0.2000000E+03, -0.7003620E+02, -0.7003620E+03, -0.1400724E+04
01/05/2011 00:30:19,  0.1999998E+02,  0.0000000E+00,  0.1999998E+03, -0.1277734E+03, -0.1277734E+04, -0.2555469E+04
01/05/2011 00:45:06,  0.1999997E+02,  0.0000000E+00,  0.1999997E+03, -0.1972623E+03, -0.1972622E+04, -0.3945245E+04
01/05/2011 01:00:10,  0.2000003E+02,  0.0000000E+00,  0.2000003E+03, -0.2149559E+03, -0.2149559E+04, -0.4299117E+04
01/05/2011 01:15:04,  0.1999989E+02,  0.0000000E+00,  0.1999989E+03, -0.1887602E+03, -0.1887602E+04, -0.3775203E+04
01/05/2011 01:30:04,  0.2000001E+02,  0.0000000E+00,  0.2000001E+03, -0.1368364E+03, -0.1368364E+04, -0.2736728E+04
01/05/2011 01:45:14,  0.2000005E+02,  0.0000000E+00,  0.2000005E+03, -0.8534185E+02, -0.8534186E+03, -0.1706837E+04
01/05/2011 02:00:25,  0.2000014E+02,  0.0000000E+00,  0.2000014E+03, -0.6292775E+02, -0.6292775E+03, -0.1258555E+04
01/05/2011 02:15:27,  0.2000003E+02,  0.0000000E+00,  0.2000003E+03, -0.5264249E+02, -0.5186777E+03, -0.1052850E+04
01/05/2011 02:30:22,  0.2000006E+02,  0.0000000E+00,  0.2000006E+03, -0.5853382E+02, -0.5854349E+03, -0.1170677E+04
01/05/2011 02:45:06,  0.2000000E+02,  0.0000000E+00,  0.2000000E+03, -0.8348989E+02, -0.8353004E+03, -0.1669798E+04
