TIME,NS1_FLOW [m^3 s^-1],NS1_SALT_FLUX [psu m^3 s^-1],NS1_TEMP_FLUX [degrees celsius m^3 s^-1],NS2_FLOW [m^3 s^-1],NS2_SALT_FLUX [psu m^3 s^-1],NS2_TEMP_FLUX [degrees celsius m^3 s^-1]
01/05/2011 00:00:00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
01/05/2011 00:15:58,  0.2000003E+02, -0.3464980E+02,  0.1653506E+03,  0.2361947E+03,  0.9251173E+04,  0.4725292E+04
01/05/2011 00:30:13,  0.2000010E+02, -0.8815315E+02,  0.1118470E+03,  0.1258187E+03,  0.8066931E+04,  0.2522194E+04
01/05/2011 00:45:03,  0.2000002E+02, -0.7208632E+02,  0.1279135E+03, -0.3192256E+02,  0.4749815E+04, -0.6275955E+03
01/05/2011 01:00:10,  0.2000012E+02, -0.5537230E+02,  0.1446290E+03, -0.2030081E+03,  0.1203050E+04, -0.4041635E+04
01/05/2011 01:15:16,  0.2000010E+02, -0.4834147E+02,  0.1516601E+03, -0.2471184E+03,  0.9213505E+03, -0.4918688E+04
01/05/2011 01:30:09,  0.2000002E+02, -0.4429419E+02,  0.1557071E+03, -0.3111253E+03, -0.1464780E+03, -0.6195538E+04
01/05/2011 01:45:07,  0.2000010E+02, -0.4308580E+02,  0.1569174E+03, -0.2916899E+03,  0.2331900E+03, -0.5804787E+04
01/05/2011 02:00:09,  0.2000006E+02, -0.4343218E+02,  0.1565717E+03, -0.1678636E+03,  0.2606262E+04, -0.3329550E+04
01/05/2011 02:15:02,  0.2000011E+02, -0.4373489E+02,  0.1562704E+03, -0.2702506E+02,  0.5517354E+04, -0.5157679E+03
01/05/2011 02:30:05,  0.2000020E+02, -0.4307230E+02,  0.1569350E+03,  0.4940662E+02,  0.6811896E+04,  0.1011138E+04
01/05/2011 02:45:08,  0.2000016E+02, -0.4101167E+02,  0.1589963E+03,  0.3959505E+02,  0.6136244E+04,  0.8166182E+03
01/05/2011 03:00:03,  0.2000019E+02, -0.4015308E+02,  0.1598579E+03, -0.9684817E+01,  0.4606450E+04, -0.1644261E+03
01/05/2011 03:15:16,  0.2000008E+02, -0.3932248E+02,  0.1606917E+03, -0.4927782E+02,  0.3365041E+04, -0.9513481E+03
01/05/2011 03:30:02,  0.2000007E+02, -0.3781826E+02,  0.1622005E+03, -0.8476211E+02,  0.2199378E+04, -0.1657564E+04
01/05/2011 03:45:03,  0.2000006E+02, -0.3674514E+02,  0.1632796E+03, -0.1102136E+03,  0.1356331E+04, -0.2164457E+04
01/05/2011 04:00:40,  0.2000005E+02, -0.3650924E+02,  0.1635227E+03, -0.9039504E+02,  0.1760891E+04, -0.1768369E+04
01/05/2011 04:15:23,  0.2000006E+02, -0.3716980E+02,  0.1628711E+03, -0.1525058E+02,  0.3603912E+04, -0.2693092E+03
01/05/2011 04:30:41,  0.1999997E+02, -0.3691739E+02,  0.1631310E+03,  0.6137696E+02,  0.5493661E+04,  0.1258570E+04
01/05/2011 04:45:06,  0.2000013E+02, -0.3513197E+02,  0.1649228E+03,  0.9405550E+02,  0.6285367E+04,  0.1910374E+04
01/05/2011 05:00:20,  0.2000005E+02, -0.3245378E+02,  0.1676024E+03,  0.9407908E+02,  0.6206841E+04,  0.1911501E+04
01/05/2011 05:15:19,  0.2000010E+02, -0.2996443E+02,  0.1700935E+03,  0.9414901E+02,  0.6117321E+04,  0.1913575E+04
01/05/2011 05:30:06,  0.2000012E+02, -0.2719743E+02,  0.1728609E+03,  0.9339777E+02,  0.5956897E+04,  0.1899128E+04
01/05/2011 05:45:20,  0.2000007E+02, -0.2517582E+02,  0.1748826E+03,  0.6750476E+02,  0.5101392E+04,  0.1383842E+04
01/05/2011 06:01:03,  0.2000013E+02, -0.2423759E+02,  0.1758237E+03,  0.4452902E+02,  0.4374541E+04,  0.9276541E+03
01/05/2011 06:15:27,  0.2000017E+02, -0.2419518E+02,  0.1758699E+03,  0.5955727E+02,  0.4743484E+04,  0.1228509E+04
01/05/2011 06:30:04,  0.2000015E+02, -0.2406683E+02,  0.1760002E+03,  0.9359357E+02,  0.5630100E+04,  0.1907190E+04
01/05/2011 06:46:01,  0.2000014E+02, -0.2294797E+02,  0.1771194E+03,  0.1168901E+03,  0.6210314E+04,  0.2371759E+04
01/05/2011 07:00:47,  0.2000010E+02, -0.2013746E+02,  0.1799248E+03,  0.1199272E+03,  0.6237138E+04,  0.2432917E+04
01/05/2011 07:15:41,  0.2000011E+02, -0.1434623E+02,  0.1857158E+03,  0.1181419E+03,  0.6112647E+04,  0.2397519E+04
01/05/2011 07:30:11,  0.2000010E+02, -0.1421302E+02,  0.1858606E+03,  0.1133560E+03,  0.5877375E+04,  0.2301489E+04
01/05/2011 07:45:05,  0.2000010E+02, -0.1525427E+02,  0.1848284E+03,  0.9539996E+02,  0.5262233E+04,  0.1943251E+04
01/05/2011 08:00:05,  0.2000009E+02, -0.6631222E+01,  0.1933967E+03,  0.7267912E+02,  0.4535210E+04,  0.1490687E+04
01/05/2011 08:15:02,  0.2000008E+02, -0.1148884E+02,  0.1885384E+03,  0.4823115E+02,  0.3762945E+04,  0.1003638E+04
01/05/2011 08:30:11,  0.2000008E+02, -0.1431770E+02,  0.1857163E+03,  0.4008271E+02,  0.3462927E+04,  0.8407988E+03
01/05/2011 08:45:22,  0.2000007E+02, -0.1966789E+02,  0.1803713E+03,  0.4350192E+02,  0.3510259E+04,  0.9083617E+03
01/05/2011 09:00:52,  0.2000008E+02, -0.1667406E+02,  0.1833404E+03,  0.4958960E+02,  0.3648099E+04,  0.1029345E+04
01/05/2011 09:15:35,  0.2000012E+02, -0.1753975E+02,  0.1824365E+03,  0.2963241E+02,  0.3016519E+04,  0.6319579E+03
01/05/2011 09:30:07,  0.2000010E+02, -0.1450334E+02,  0.1854543E+03,  0.6696349E+01,  0.2311448E+04,  0.1754618E+03
01/05/2011 09:45:02,  0.2000004E+02, -0.1176252E+02,  0.1881932E+03, -0.7715424E+01,  0.1854759E+04, -0.1116087E+03
01/05/2011 10:00:01,  0.2000014E+02, -0.1028954E+02,  0.1896544E+03, -0.1547968E+02,  0.1587399E+04, -0.2665451E+03
01/05/2011 10:15:00,  0.2000008E+02, -0.1223117E+02,  0.1876957E+03, -0.3971693E+02,  0.8354272E+03, -0.7491010E+03
01/05/2011 10:30:30,  0.2000009E+02, -0.1478687E+02,  0.1851288E+03, -0.5753381E+02,  0.2996302E+03, -0.1103418E+04
01/05/2011 10:45:07,  0.2000011E+02, -0.1673837E+02,  0.1831797E+03, -0.5836065E+02,  0.2736420E+03, -0.1119596E+04
01/05/2011 11:01:03,  0.2000013E+02, -0.1615979E+02,  0.1837681E+03, -0.4853349E+02,  0.5528792E+03, -0.9240287E+03
01/05/2011 11:15:05,  0.2000012E+02, -0.1191993E+02,  0.1880251E+03, -0.7814559E+02, -0.3425523E+03, -0.1513310E+04
01/05/2011 11:30:33,  0.2000014E+02, -0.1487538E+02,  0.1850491E+03, -0.1196609E+03, -0.1564405E+04, -0.2338699E+04
01/05/2011 11:45:20,  0.2000010E+02, -0.8365579E+01,  0.1915952E+03, -0.1404012E+03, -0.2171928E+04, -0.2750697E+04
01/05/2011 12:00:08,  0.2000007E+02, -0.7674975E+01,  0.1922969E+03, -0.1430244E+03, -0.2246894E+04, -0.2802110E+04
01/05/2011 12:15:35,  0.2000013E+02, -0.1079501E+02,  0.1891697E+03, -0.1397466E+03, -0.2129843E+04, -0.2735447E+04
01/05/2011 12:30:02,  0.2000002E+02, -0.8383528E+01,  0.1915858E+03, -0.1382273E+03, -0.2055157E+04, -0.2703531E+04
01/05/2011 12:45:37,  0.2000009E+02, -0.1254075E+02,  0.1874169E+03, -0.1183817E+03, -0.1442446E+04, -0.2307368E+04
01/05/2011 13:00:15,  0.2000004E+02, -0.1227853E+02,  0.1876503E+03, -0.1018750E+03, -0.9494159E+03, -0.1978292E+04
01/05/2011 13:15:20,  0.2000016E+02, -0.9258050E+01,  0.1906386E+03, -0.9941216E+02, -0.8859779E+03, -0.1929003E+04
01/05/2011 13:30:23,  0.2000008E+02, -0.1067810E+02,  0.1892482E+03, -0.1112874E+03, -0.1250836E+04, -0.2165151E+04
01/05/2011 13:45:06,  0.2000002E+02, -0.7846409E+01,  0.1921194E+03, -0.1246788E+03, -0.1650466E+04, -0.2431347E+04
01/05/2011 14:00:03,  0.2000005E+02, -0.7128016E+01,  0.1928084E+03, -0.1300593E+03, -0.1797310E+04, -0.2538041E+04
01/05/2011 14:15:22,  0.2000010E+02, -0.1153827E+02,  0.1883765E+03, -0.1202804E+03, -0.1492557E+04, -0.2343447E+04
01/05/2011 14:30:03,  0.2000012E+02, -0.1030369E+02,  0.1896444E+03, -0.1081738E+03, -0.1139474E+04, -0.2103276E+04
01/05/2011 14:45:21,  0.2000008E+02, -0.8913200E+01,  0.1910340E+03, -0.9196422E+02, -0.6725784E+03, -0.1781753E+04
01/05/2011 15:00:03,  0.2000001E+02, -0.1127360E+02,  0.1886459E+03, -0.7876629E+02, -0.2938582E+03, -0.1520126E+04
01/05/2011 15:15:29,  0.2000002E+02, -0.1313679E+02,  0.1867780E+03, -0.5290854E+02,  0.4382012E+03, -0.1007232E+04
01/05/2011 15:30:25,  0.2000001E+02, -0.1459129E+02,  0.1853209E+03, -0.3326696E+02,  0.9549420E+03, -0.6185734E+03
01/05/2011 15:45:21,  0.1999998E+02, -0.9053425E+01,  0.1908840E+03, -0.2864620E+02,  0.1037841E+04, -0.5282274E+03
01/05/2011 16:00:44,  0.2000011E+02, -0.1280550E+02,  0.1870832E+03, -0.3158010E+02,  0.9296442E+03, -0.5872637E+03
01/05/2011 16:15:04,  0.2000005E+02, -0.1122849E+02,  0.1885638E+03, -0.1402371E+02,  0.1432234E+04, -0.2385203E+03
01/05/2011 16:30:29,  0.2000010E+02, -0.9905308E+01,  0.1897697E+03,  0.9809799E+01,  0.2082214E+04,  0.2344665E+03
01/05/2011 16:45:12,  0.2000006E+02, -0.1536423E+02,  0.1842959E+03,  0.2005904E+02,  0.2336073E+04,  0.4376626E+03
01/05/2011 17:00:26,  0.2000008E+02, -0.8407454E+01,  0.1913792E+03,  0.2283606E+02,  0.2401485E+04,  0.4932848E+03
01/05/2011 17:15:48,  0.2000011E+02, -0.1010651E+02,  0.1898001E+03,  0.4639061E+02,  0.3090246E+04,  0.9625107E+03
01/05/2011 17:30:06,  0.2000014E+02, -0.7073673E+01,  0.1928731E+03,  0.7248289E+02,  0.3812084E+04,  0.1480982E+04
01/05/2011 17:45:35,  0.2000004E+02, -0.9491757E+01,  0.1904520E+03,  0.7678918E+02,  0.3868703E+04,  0.1565748E+04
01/05/2011 18:00:32,  0.2000011E+02, -0.9921193E+01,  0.1895276E+03,  0.7348653E+02,  0.3733140E+04,  0.1500279E+04
01/05/2011 18:15:37,  0.2000006E+02, -0.1606202E+02,  0.1829130E+03,  0.8542335E+02,  0.4070173E+04,  0.1738238E+04
01/05/2011 18:30:19,  0.2000010E+02, -0.1550661E+02,  0.1831277E+03,  0.1037535E+03,  0.4567613E+04,  0.2102148E+04
