Year,Site,Site code,Easting,Northing,Average of Depth,Average of RuppiaShootsTotal,Average of RuppiaShootsGreen,Average of RuppiaShootsBrown,Average of RuppiaTurionsTypeII,Average of RuppiaTurionsTypeI,Average of RuppiaTurionsTypeI&II,Average of RuppiaSeeds
2015,N29E,LP,334165,6048619,0.58,0,0,0,0,0,0,0
2015,S41E,TTX,378832,5996641,0.58,0,0,0,0,0.1,0.1,0.6
2016,N15E,RP,345015,6039121,0.58,0,0,0,0,0,0,0.3
2016,N19E,NM,342635,6042214,0.58,0,0,0,0,0,0,0.14
2016,N29E,LP,334165,6048619,0.58,0,0,0,0,0,0,0
2016,S21E,S21E,370410,6013413,0.58,0,0,0,0,0,0,1.12
2016,S41E,TTX,378832,5996641,0.58,0,0,0,0,0.02,0.02,0.36
2017,N15E,RP,345015,6039121,0.58,0,0,0,0,0,0,0.38
2017,N19E,NM,342635,6042214,0.58,0,0,0,0,0,0,0.1
2017,N29E,LP,334165,6048619,0.5,0,0,0,0,0,0,0
2018,N15E,RP,345015,6039121,0.58,0,0,0,0,0,0,0.18
2018,N19E,NM,342635,6042214,0.58,0,0,0,0,0,0,0.02
2018,N29E,LP,334165,6048619,0.58,0,0,0,0,0,0,0
